http://www.engineeringtoolbox.com/saturated-steam-properties-d_101.html
0.8	3.8	160	0.00626	15.8	2493	2509	9.058
2.0	17.5	67.0	0.0149	73.5	2460	2534	8.725
5.0	32.9	28.2	0.0354	137.8	2424	2562	8.396
10.0	45.8	14.7	0.0682	191.8	2393	2585	8.151
20.0	60.1	7.65	0.131	251.5	2358	2610	7.909
28	67.5	5.58	0.179	282.7	2340	2623	7.793
35	72.7	4.53	0.221	304.3	2327	2632	7.717
45	78.7	3.58	0.279	329.6	2312	2642	7.631
55	83.7	2.96	0.338	350.6	2299	2650	7.562
65	88.0	2.53	0.395	368.6	2288	2657	7.506
75	91.8	2.22	0.450	384.5	2279	2663	7.457
85	95.2	1.97	0.507	398.6	2270	2668	7.415
95	98.2	1.78	0.563	411.5	2262	2673	7.377
100	99.6	1.69	0.590	417.5	2258	2675	7.360
101.33	100	1.67	0.598	419.1	2257	2676	7.355
110	102.3	1.55	0.646	428.8	2251	2680	7.328
130	107.1	1.33	0.755	449.2	2238	2687	7.271
150	111.4	1.16	0.863	467.1	2226	2698	7.223
170	115.2	1.03	0.970	483.2	2216	2699	7.181
190	118.6	0.929	1.08	497.8	2206	2704	7.144
220	123.3	0.810	1.23	517.6	2193	2711	7.095
260	128.7	0.693	1.44	540.9	2177	2718	7.039
280	131.2	0.646	1.55	551.4	2170	2722	7.014
320	135.8	0.570	1.75	570.9	2157	2728	6.969
360	139.9	0.510	1.96	588.5	2144	2733	6.930
400	143.1	0.462	2.16	604.7	2133	2738	6.894
440	147.1	0.423	2.36	619.6	2122	2742	6.862
480	150.3	0.389	2.57	633.5	2112	2746	6.833
500	151.8	0.375	2.67	640.1	2107	2748	6.819
550	155.5	0.342	2.92	655.8	2096	2752	6.787
600	158.8	0.315	3.175	670.4	2085	2756	6.758
650	162.0	0.292	3.425	684.1	2075	2759	6.730
700	165.0	0.273	3.66	697.1	2065	2762	6.705
750	167.8	0.255	3.915	709.3	2056	2765	6.682
800	170.4	0.240	4.16	720.9	2047	2768	6.660
850	172.9	0.229	4.41	732.0	2038	2770	6.639
900	175.4	0.215	4.65	742.6	2030	2772	6.619
950	177.7	0.204	4.90	752.8	2021	2774	6.601
1000	179.9	0.194	5.15	762.6	2014	2776	6.583
1050	182.0	0.186	5.39	772	2006	2778	6.566
1150	186.0	0.170	5.89	790	1991	2781	6.534
1250	189.8	0.157	6.38	807	1977	2784	6.505
1300	191.6	0.151	6.62	815	1971	2785	6.491
1500	198.3	0.132	7.59	845	1945	2790	6.441
1600	201.4	0.124	8.03	859	1933	2792	6.418
1800	207.1	0.110	9.07	885	1910	2795	6.375
2000	212.4	0.0995	10.01	909	1889	2797	6.337
2100	214.9	0.0945	10.54	920	1878	2798	6.319
2300	219.6	0.0868	11.52	942	1858	2800	6.285
2400	221.8	0.0832	12.02	952	1849	2800	6.269
2600	226.0	0.0769	13.01	972	1830	2801	6.239
2700	228.1	0.0740	13.52	981	1821	2802	6.224
2900	232.0	0.0689	14.52	1000	1803	2802	6.197
3000	233.8	0.0666	15.00	1008	1794	2802	6.184
3200	237.4	0.0624	16.02	1025	1779	2802	6.158
3400	240.9	0.0587	17.04	1042	1760	2802	6.134
3600	244.2	0.0554	18.06	1058	1744	2802	6.112
3800	247.3	0.0524	19.08	1073	1728	2801	6.090
4000	250.3	0.0497	20.09	1087	1713	2800	6.069
