http://www.engineeringtoolbox.com/water-vapor-d_979.html
Temperature  Specific Heat
175	1.850
200	1.851
225	1.852
250	1.855
275	1.859
300	1.864
325	1.871
350	1.880
375	1.890
400	1.901
450	1.926
500	1.954
550	1.984
600	2.015
650	2.047
700	2.080
750	2.113
800	2.147
850	2.182
900	2.217
950	2.252
1000	2.288
1050	2.323
1100	2.358
1150	2.392
1200	2.425
1250	2.458
1300	2.490
1350	2.521
1400	2.552
1500	2.609
1600	2.662
1700	2.711
1800	2.756
1900	2.798
2000	2.836
2100	2.872
2200	2.904
2300	2.934
2400	2.962
2500	2.987
2600	3.011
2700	3.033
2800	3.053
2900	3.072
3000	3.090
3500	3.163
4000	3.217
4500	3.258
5000	3.292
5500	3.322
6000	3.350
